white_daisy,black_daisy,open_land
0.386625,0.210096,0.403279
0.377941,0.156998,0.465061
0.365464,0.110124,0.524413
0.348912,0.0770866,0.574002
0.33303,0.0539606,0.61301
0.31983,0.0377724,0.642398
0.309568,0.0264407,0.663991
0.301858,0.0185085,0.679633
0.296179,0.0129559,0.690865
0.29205,0.00906916,0.698881
0.38913,0.0084647,0.602405
0.419134,0.00620574,0.57466
0.421986,0.00434402,0.57367
0.421377,0.00304081,0.575582
0.420707,0.00212857,0.577164
0.420216,0.00149,0.578294
0.419868,0.001043,0.579089
0.419625,0.000730099,0.579645
0.419454,0.000511069,0.580035
0.419334,0.000357749,0.580308
0.41925,0.000250424,0.580499
0.419192,0.000175297,0.580633
0.41915,0.000122708,0.580727
0.419122,8.58954e-05,0.580792
0.419102,6.01268e-05,0.580838
0.419087,4.20888e-05,0.580871
0.419078,2.94621e-05,0.580893
0.419071,2.06235e-05,0.580909
0.419066,1.44364e-05,0.58092
0.419062,1.01055e-05,0.580928
0.41906,7.07386e-06,0.580933
0.419058,4.9517e-06,0.580937
0.419057,3.46619e-06,0.580939
0.419056,2.42633e-06,0.580941
0.419056,1.69843e-06,0.580943
0.419055,1.1889e-06,0.580943
0.419055,8.32232e-07,0.580944
0.419055,5.82563e-07,0.580945
0.419055,4.07794e-07,0.580945
0.419055,2.85456e-07,0.580945
0.419055,1.99819e-07,0.580945
0.419055,1.39873e-07,0.580945
0.419055,9.79113e-08,0.580945
0.419055,6.85379e-08,0.580945
0.419054,4.79765e-08,0.580945
0.419054,3.35836e-08,0.580945
0.419054,2.35085e-08,0.580945
0.419054,1.6456e-08,0.580946
0.419054,1.15192e-08,0.580946
0.419054,8.06342e-09,0.580946
0.419054,5.64439e-09,0.580946
0.419054,3.95107e-09,0.580946
0.419054,2.76575e-09,0.580946
0.419054,1.93603e-09,0.580946
0.419054,1.35522e-09,0.580946
0.419054,9.48653e-10,0.580946
0.419054,6.64057e-10,0.580946
0.419054,4.6484e-10,0.580946
0.419054,3.25388e-10,0.580946
0.419054,2.27772e-10,0.580946
0.419054,1.5944e-10,0.580946
0.419054,1.11608e-10,0.580946
0.419054,7.81256e-11,0.580946
0.419054,5.4688e-11,0.580946
0.419054,3.82816e-11,0.580946
0.419054,2.67971e-11,0.580946
0.419054,1.8758e-11,0.580946
0.419054,1.31306e-11,0.580946
0.419054,9.1914e-12,0.580946
0.419054,6.43398e-12,0.580946
0.419054,4.50379e-12,0.580946
0.419054,3.15265e-12,0.580946
0.419054,2.20686e-12,0.580946
0.419054,1.5448e-12,0.580946
0.419054,1.08136e-12,0.580946
0.419054,7.56952e-13,0.580946
0.419054,5.29866e-13,0.580946
0.419054,3.70906e-13,0.580946
0.419054,2.59634e-13,0.580946
0.419054,1.81744e-13,0.580946
0.419054,1.27221e-13,0.580946
0.419054,8.90546e-14,0.580946
0.419054,6.23382e-14,0.580946
0.419054,4.36368e-14,0.580946
0.419054,3.05457e-14,0.580946
0.419054,2.1382e-14,0.580946
0.419054,1.49674e-14,0.580946
0.419054,1.04772e-14,0.580946
0.419054,7.33403e-15,0.580946
0.419054,5.13382e-15,0.580946
0.419054,3.59367e-15,0.580946
0.419054,2.51557e-15,0.580946
0.419054,1.7609e-15,0.580946
0.419054,1.23263e-15,0.580946
0.419054,8.62841e-16,0.580946
0.419054,6.03989e-16,0.580946
0.419054,4.22792e-16,0.580946
0.419054,2.95955e-16,0.580946
0.419054,2.07168e-16,0.580946
0.419054,1.45018e-16,0.580946
0.419054,1.01512e-16,0.580946
