white_daisy,black_daisy,open_land
0.386625,0.210096,0.403279
0.377941,0.156998,0.465061
0.365464,0.110124,0.524413
0.348912,0.0770866,0.574002
0.33303,0.0539606,0.61301
0.31983,0.0377724,0.642398
0.309568,0.0264407,0.663991
0.301858,0.0185085,0.679633
0.296179,0.0129559,0.690865
0.29205,0.00906916,0.698881
0.239047,0.00634841,0.754605
0.219933,0.00444389,0.775623
0.21082,0.00311072,0.78607
0.205947,0.00217751,0.791875
0.203167,0.00152425,0.795309
0.201511,0.00106698,0.797422
0.200492,0.000746884,0.798761
0.19985,0.000522819,0.799628
0.199436,0.000365973,0.800199
0.199164,0.000256181,0.800579
0.198984,0.000179327,0.800836
0.198863,0.000125529,0.801011
0.198782,8.78702e-05,0.801131
0.198726,6.15091e-05,0.801213
0.198687,4.30564e-05,0.80127
0.198661,3.01395e-05,0.801309
0.198643,2.10976e-05,0.801336
0.19863,1.47683e-05,0.801355
0.198621,1.03378e-05,0.801368
0.198615,7.23649e-06,0.801378
0.198611,5.06554e-06,0.801384
0.198608,3.54588e-06,0.801389
0.198606,2.48212e-06,0.801392
0.198604,1.73748e-06,0.801394
0.198603,1.21624e-06,0.801396
0.198603,8.51366e-07,0.801397
0.198602,5.95956e-07,0.801397
0.198602,4.17169e-07,0.801398
0.198601,2.92018e-07,0.801398
0.198601,2.04413e-07,0.801399
0.198601,1.43089e-07,0.801399
0.198601,1.00162e-07,0.801399
0.198601,7.01136e-08,0.801399
0.198601,4.90795e-08,0.801399
0.198601,3.43557e-08,0.801399
0.198601,2.4049e-08,0.801399
0.198601,1.68343e-08,0.801399
0.198601,1.1784e-08,0.801399
0.198601,8.2488e-09,0.801399
0.198601,5.77416e-09,0.801399
0.198601,4.04191e-09,0.801399
0.198601,2.82934e-09,0.801399
0.198601,1.98054e-09,0.801399
0.198601,1.38638e-09,0.801399
0.198601,9.70463e-10,0.801399
0.198601,6.79324e-10,0.801399
0.198601,4.75527e-10,0.801399
0.198601,3.32869e-10,0.801399
0.198601,2.33008e-10,0.801399
0.198601,1.63106e-10,0.801399
0.198601,1.14174e-10,0.801399
0.198601,7.99218e-11,0.801399
0.198601,5.59452e-11,0.801399
0.198601,3.91617e-11,0.801399
0.198601,2.74132e-11,0.801399
0.198601,1.91892e-11,0.801399
0.198601,1.34325e-11,0.801399
0.198601,9.40272e-12,0.801399
0.198601,6.5819e-12,0.801399
0.198601,4.60733e-12,0.801399
0.198601,3.22513e-12,0.801399
0.198601,2.25759e-12,0.801399
0.198601,1.58031e-12,0.801399
0.198601,1.10622e-12,0.801399
0.198601,7.74354e-13,0.801399
0.198601,5.42048e-13,0.801399
0.198601,3.79434e-13,0.801399
0.198601,2.65604e-13,0.801399
0.198601,1.85922e-13,0.801399
0.198601,1.30146e-13,0.801399
0.198601,9.1102e-14,0.801399
0.198601,6.37714e-14,0.801399
0.198601,4.464e-14,0.801399
0.198601,3.1248e-14,0.801399
0.198601,2.18736e-14,0.801399
0.198601,1.53115e-14,0.801399
0.198601,1.07181e-14,0.801399
0.198601,7.50264e-15,0.801399
0.198601,5.25185e-15,0.801399
0.198601,3.67629e-15,0.801399
0.198601,2.57341e-15,0.801399
0.198601,1.80138e-15,0.801399
0.198601,1.26097e-15,0.801399
0.198601,8.82678e-16,0.801399
0.198601,6.17875e-16,0.801399
0.198601,4.32512e-16,0.801399
0.198601,3.02759e-16,0.801399
0.198601,2.11931e-16,0.801399
0.198601,1.48352e-16,0.801399
0.198601,1.03846e-16,0.801399
0.198601,7.26924e-17,0.801399
